mls,latitude,longitude,campus_number,school,rating
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
67153161,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
68711278,29.844978,-95.42673,101912174,HIGHLAND HTS EL,D
69545338,29.85982282,-95.42824164,101912174,HIGHLAND HTS EL,D
71054944,29.839131,-95.398577,101912174,HIGHLAND HTS EL,D
74218334,29.84128657,-95.41805843,101912174,HIGHLAND HTS EL,D
75976273,29.84128766,-95.41786914,101912174,HIGHLAND HTS EL,D
79713891,29.84808433,-95.44070815,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
87992377,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
