mls,school
23549544,MACGREGOR EL
46916379,MACGREGOR EL
24353092,MACGREGOR EL
26222190,MACGREGOR EL
79077350,MACGREGOR EL
46264474,MACGREGOR EL
23531986,MACGREGOR EL
14092267,MACGREGOR EL
58352062,MEMORIAL EL
91709657,MEMORIAL EL
31229225,MEMORIAL EL
67237902,MEMORIAL EL
41308640,MEMORIAL EL
70045003,MEMORIAL EL
35060684,MEMORIAL EL
95841010,MEMORIAL EL
30527121,MEMORIAL EL
56338962,MEMORIAL EL
95753207,MEMORIAL EL
60936697,MEMORIAL EL
55079914,MEMORIAL EL
51623669,MEMORIAL EL
60781641,MEMORIAL EL
82622931,MEMORIAL EL
39667620,MEMORIAL EL
37550789,MEMORIAL EL
40614191,MEMORIAL EL
87159467,MEMORIAL EL
45570897,MEMORIAL EL
66745770,MEMORIAL EL
75254057,MEMORIAL EL
43410935,MEMORIAL EL
8861977,MEMORIAL EL
15080548,MEMORIAL EL
66998966,MEMORIAL EL
57720754,MEMORIAL EL
42945132,MEMORIAL EL
7386502,MEMORIAL EL
15208287,MEMORIAL EL
67421666,MEMORIAL EL
41845372,MEMORIAL EL
71074850,MEMORIAL EL
65985170,MEMORIAL EL
33627021,MEMORIAL EL
69884397,MEMORIAL EL
37998411,MEMORIAL EL
77516577,MEMORIAL EL
19513619,MEMORIAL EL
76715356,MEMORIAL EL
6482680,MEMORIAL EL
98086754,MEMORIAL EL
73826640,MEMORIAL EL
82593390,MEMORIAL EL
8735419,MEMORIAL EL
41189547,MEMORIAL EL
97687249,MEMORIAL EL
50835774,MEMORIAL EL
68513391,MEMORIAL EL
11958900,MEMORIAL EL
16307473,MEMORIAL EL
34763890,MEMORIAL EL
73774669,MEMORIAL EL
59719659,MEMORIAL EL
26585380,MEMORIAL EL
95056976,MEMORIAL EL
63521818,MEMORIAL EL
56867543,MEMORIAL EL
76389016,MEMORIAL EL
42340163,MEMORIAL EL
77400996,MEMORIAL EL
60816478,MEMORIAL EL
95692087,MEMORIAL EL
16632508,MEMORIAL EL
63211910,MEMORIAL EL
16775075,MEMORIAL EL
43183689,MEMORIAL EL
22987504,MEMORIAL EL
77502030,MEMORIAL EL
17305171,MEMORIAL EL
15909868,MEMORIAL EL
91835479,MEMORIAL EL
22441580,MEMORIAL EL
85305072,MEMORIAL EL
6842063,MEMORIAL EL
85960358,MEMORIAL EL
23267723,MEMORIAL EL
57522122,MEMORIAL EL
63470988,MEMORIAL EL
90420344,MEMORIAL EL
