mls,campus_number
25929121,101912016
25951620,101912058
25951620,101912008
25996363,101912009
25996363,101912009
25996363,101912116
25996363,101912116
26012702,101912359
26012702,101912310
26022541,101912024
26022541,101912242
26041021,101912217
26041021,101912020
26058564,101912130
26058564,101912002
26061449,101912199
26061449,101912002
26095848,101912124
26095848,101912001
26130291,101912267
26130291,101912023
26183074,101912275
26183074,101912036
26183110,101912215
26183110,101912017
26199853,101912012
26199853,101912152
26202223,101912189
26202223,101912017
26222190,101912008
26222190,101912201
26226646,101912259
26226646,101912008
26260310,101912251
26260310,101912008
26275087,101912243
26275087,101912020
26279460,101912140
26279460,101912018
26295902,101912020
26295902,101912195
26315892,101912012
26315892,101912152
26318162,101912245
26318162,101912015
26361517,101912216
26361517,101912027
26405425,101912116
26405425,101912009
26563150,101912274
26563150,101912036
26585380,101912204
26585380,101912008
26601732,101912229
26601732,101912008
26673955,101912002
26673955,101912130
26696532,101912002
26696532,101912189
26732714,101912228
26732714,101912008
26732984,101912224
26732984,101912002
26799719,101912158
26799719,101912014
26828911,101912149
26828911,101912009
26847135,101912259
26847135,101912008
26880126,101912008
26880126,101912259
26915030,101912008
26915030,101912204
26969900,101912477
26969900,101912479
27079590,101912259
27079590,101912008
27087722,101912201
27087722,101912008
27141157,101912007
27141157,101912475
27168972,101912108
27168972,101912019
27182049,101912012
27182049,101912204
27183914,101912018
27183914,101912172
27253216,101912008
27253216,101912221
27301988,101912195
27301988,101912020
27314558,101912116
27314558,101912009
27322240,101912108
27322240,101912019
27435759,101912015
27435759,101912241
27436532,101912009
27436532,101912116
27472465,101912310
27472465,101912181
27544232,101912008
27544232,101912255
27548899,101912245
27548899,101912015
27569870,101912241
27569870,101912015
27637857,101912012
27637857,101912169
27649560,101912010
27649560,101912239
27665268,101912198
27665268,101912015
27668995,101912010
27668995,101912395
27689596,101912204
27689596,101912012
27753665,101912259
27753665,101912008
27768643,101912242
27768643,101912024
27793277,101912008
27793277,101912058
27837902,101912008
27837902,101912255
27839695,101912012
27839695,101912249
27885848,101912245
27885848,101912015
27923841,101912015
27923841,101912245
27986762,101912174
27986762,101912016
28042221,101912008
28042221,101912251
28142989,101912015
28142989,101912157
28179759,101912255
28179759,101912008
28264674,101912247
28264674,101912019
28266768,101912008
28266768,101912251
28286726,101912008
28286726,101912228
28311780,101912267
28311780,101912023
28328422,101912017
28328422,101912215
28355431,101912020
28355431,101912195
28406857,101912008
28406857,101912201
28416470,101912010
28416470,101912239
28512892,101912239
28512892,101912017
28526330,101912130
28526330,101912002
28527543,101912152
28527543,101912012
28532900,101912008
28532900,101912256
28576521,101912195
28576521,101912020
28577169,101912017
28577169,101912105
28582678,101912196
28582678,101912002
28591492,101912009
28591492,101912116
28635834,101912229
28635834,101912008
28648104,101912015
28648104,101912157
28694421,101912192
28694421,101912018
28698329,101912058
28698329,101912008
28707609,101912023
28707609,101912248
28713732,101912017
28713732,101912215
28737333,101912152
28737333,101912012
28793010,101912008
28793010,101912251
28879198,101912017
28879198,101912215
28892549,101912252
28892549,101912024
28892832,101912016
28892832,101912016
28892832,101912016
28892832,101912174
28892832,101912174
28892832,101912174
28905208,101912245
28905208,101912015
28933694,101912012
28933694,101912152
29015026,101912002
29015026,101912199
29055089,101912015
29055089,101912241
29114226,101912009
29114226,101912116
29168820,101912116
29168820,101912009
29190643,101912002
29190643,101912130
29239577,101912259
29239577,101912008
29247495,101912012
29247495,101912152
29253130,101912121
29253130,101912018
29258845,101912253
29258845,101912036
29260359,101912016
29260359,101912125
29266329,101912012
29266329,101912198
29269579,101912002
29269579,101912130
29275356,101912479
29275356,101912477
29348686,101912008
29348686,101912228
29349298,101912015
29349298,101912198
29403923,101912221
29403923,101912008
29465616,101912003
29465616,101912182
29483905,101912110
29483905,101912020
29502926,101912479
29502926,101912477
29509511,101912001
29509511,101912217
29513112,101912058
29513112,101912008
29742589,101912036
29742589,101912253
29751168,101912036
29751168,101912275
29753226,101912174
29753226,101912016
29753226,101912016
29753226,101912174
29811701,101912199
29811701,101912002
29817322,101912001
29817322,101912192
29827083,101912009
29827083,101912116
29845765,101912225
29845765,101912019
29856986,101912002
29856986,101912224
29874209,101912017
29874209,101912105
29956317,101912001
29956317,101912171
29993690,101912189
29993690,101912002
30014595,101912279
30014595,101912001
30098078,101912002
30098078,101912224
30161492,101912289
30161492,101912003
30220654,101912002
30220654,101912130
30231990,101912058
30231990,101912008
30243501,101912009
30243501,101912218
30278277,101912017
30278277,101912148
30281869,101912012
30281869,101912135
30287322,101912023
30287322,101912111
30293095,101912204
30293095,101912012
30318423,101912019
30318423,101912108
30358827,101912015
30358827,101912241
30376231,101912228
30376231,101912008
30400303,101912259
30400303,101912008
30469224,101912259
30469224,101912008
30527121,101912008
30527121,101912204
30569321,101912008
30569321,101912259
30582383,101912002
30582383,101912178
30628478,101912228
30628478,101912008
30635754,101912216
30635754,101912027
30660702,101912016
30660702,101912174
30683484,101912279
30683484,101912001
30705959,101912018
30705959,101912121
30800567,101912120
30800567,101912012
30827446,101912008
30827446,101912255
30829154,101912221
30829154,101912008
30911107,101912002
30911107,101912199
31001789,101912018
31001789,101912121
31062653,101912263
31062653,101912019
31065725,101912147
31065725,101912018
31120947,101912017
31120947,101912148
31138018,101912023
31138018,101912227
31176539,101912253
31176539,101912036
31181794,101912008
31181794,101912221
31229225,101912008
31229225,101912204
31251253,101912117
31251253,101912001
31409450,101912020
31409450,101912154
31435713,101912137
31435713,101912310
31498382,101912369
31498382,101912017
31568715,101912001
31568715,101912279
31594039,101912011
31594039,101912291
31607097,101912017
31607097,101912224
31668001,101912253
31668001,101912036
31713357,101912264
31713357,101912014
31719041,101912241
31719041,101912015
31855113,101912109
31855113,101912310
31887701,101912105
31887701,101912017
31939105,101912108
31939105,101912019
31970591,101912002
31970591,101912130
32034812,101912020
32034812,101912217
32093989,101912012
32093989,101912135
32168454,101912115
32168454,101912015
32195119,101912157
32195119,101912015
32195119,101912015
32195119,101912157
32195119,101912015
32195119,101912157
32219004,101912009
32219004,101912116
32238429,101912003
32238429,101912289
32239550,101912027
32239550,101912360
32251532,101912239
32251532,101912017
32263872,101912001
32263872,101912117
32268688,101912008
32268688,101912228
32279965,101912058
32279965,101912008
32334994,101912008
32334994,101912221
